epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
73,1164.63,0.6837,1.10139,0.75138,0.9913,0,0.86459,0.78526,0.85886,0.64902,0.86347,0.77318,0.83525,0.5582,0.66233,0.90978,0.60041,0.93169,0,0.000239238,0.000239238,0.000239238
74,1180.06,0.65673,1.02962,0.74043,0.99321,0,0.88595,0.80093,0.85632,0.65689,0.86452,0.78786,0.83929,0.56168,0.63761,0.90554,0.58434,0.92987,0,0.000230991,0.000230991,0.000230991
75,1195.86,0.66158,1.04922,0.71479,0.97206,0,0.8705,0.79419,0.85028,0.6596,0.84312,0.77601,0.82246,0.54398,0.62768,0.90839,0.5827,0.92708,0,0.000222744,0.000222744,0.000222744
76,1211.91,0.66152,1.05245,0.70753,0.9625,0,0.85278,0.82117,0.86105,0.65369,0.79582,0.79412,0.82144,0.54287,0.65676,0.93186,0.59499,0.93553,0,0.000214497,0.000214497,0.000214497
77,1227.91,0.64867,1.04111,0.69537,0.96712,0,0.83365,0.85433,0.86735,0.66494,0.84543,0.76933,0.82943,0.54879,0.63478,0.88802,0.58111,0.92753,0,0.000206251,0.000206251,0.000206251
78,1243.58,0.65179,1.07299,0.70607,0.97553,0,0.90211,0.78857,0.86356,0.67295,0.8592,0.76623,0.83873,0.55537,0.61944,0.87271,0.57864,0.92409,0,0.000198004,0.000198004,0.000198004
79,1259.24,0.65041,1.05245,0.70069,0.97223,0,0.91031,0.78346,0.85535,0.67048,0.87498,0.77043,0.83642,0.56952,0.63625,0.88028,0.58512,0.92603,0,0.000189757,0.000189757,0.000189757
80,1274.65,0.63835,1.01308,0.68949,0.97155,0,0.89686,0.78933,0.85532,0.66557,0.86217,0.77463,0.83761,0.55901,0.63857,0.88791,0.58052,0.92138,0,0.000181511,0.000181511,0.000181511
81,1290.38,0.63718,1.00617,0.70342,0.95142,0,0.88617,0.81526,0.86687,0.66896,0.80411,0.80188,0.82868,0.55434,0.62764,0.87548,0.57641,0.91719,0,0.000173264,0.000173264,0.000173264
82,1307.24,0.65673,1.09524,0.70562,0.96199,0,0.85612,0.85359,0.87069,0.6724,0.84173,0.81914,0.84777,0.56704,0.61981,0.88591,0.5763,0.91562,0,0.000165017,0.000165017,0.000165017
83,1322.68,0.64891,1.04429,0.69285,0.96894,0,0.85678,0.81846,0.86028,0.66532,0.83705,0.82894,0.85423,0.56748,0.61811,0.87547,0.56869,0.91383,0,0.000156771,0.000156771,0.000156771
84,1338.31,0.64984,1.02056,0.70779,0.98621,0,0.87074,0.81064,0.86076,0.66355,0.90528,0.7992,0.86475,0.56788,0.62348,0.86952,0.56942,0.91846,0,0.000148524,0.000148524,0.000148524
85,1354.36,0.64567,1.03467,0.71092,0.97557,0,0.84342,0.84479,0.86888,0.66994,0.87513,0.76759,0.84631,0.56425,0.62676,0.86293,0.56439,0.92059,0,0.000140277,0.000140277,0.000140277
86,1370.9,0.63516,1.04274,0.68048,0.94959,0,0.85046,0.83741,0.87275,0.67899,0.85588,0.77271,0.84084,0.57134,0.61956,0.87068,0.56507,0.9168,0,0.000132031,0.000132031,0.000132031
87,1387.78,0.6349,0.99853,0.6775,0.97001,0,0.85875,0.83294,0.86936,0.67895,0.87261,0.7583,0.8404,0.57543,0.61191,0.87152,0.55669,0.91305,0,0.000123784,0.000123784,0.000123784
88,1404.31,0.64963,1.05948,0.67619,0.96206,0,0.9174,0.7929,0.874,0.67894,0.87796,0.776,0.85353,0.57638,0.60832,0.85673,0.55191,0.91289,0,0.000115537,0.000115537,0.000115537
89,1420.02,0.65149,1.07666,0.70821,0.97393,0,0.89906,0.81539,0.8714,0.68081,0.86284,0.79751,0.85447,0.5726,0.61307,0.84982,0.55387,0.91471,0,0.00010729,0.00010729,0.00010729
90,1436.25,0.63382,0.98925,0.67827,0.97157,0,0.89159,0.83058,0.86582,0.67378,0.86685,0.7999,0.85176,0.57352,0.6231,0.85844,0.56319,0.91443,0,9.90437e-05,9.90437e-05,9.90437e-05
91,1451.83,0.63841,0.99567,0.70471,0.96309,0,0.88829,0.82894,0.86739,0.66865,0.85776,0.78885,0.83547,0.56637,0.63449,0.87001,0.56988,0.91452,0,9.0797e-05,9.0797e-05,9.0797e-05
92,1463.26,0.64692,0.9754,0.70019,0.98066,0,0.86691,0.8352,0.86517,0.66782,0.8207,0.80368,0.8313,0.5595,0.63426,0.86744,0.57322,0.91666,0,8.25503e-05,8.25503e-05,8.25503e-05
93,1475.3,0.64588,0.97111,0.68777,0.96562,0,0.86602,0.8315,0.86338,0.67652,0.83031,0.80636,0.83402,0.55839,0.61767,0.85138,0.56471,0.91555,0,7.43036e-05,7.43036e-05,7.43036e-05
94,1487.32,0.62782,0.97071,0.69961,0.95986,0,0.87144,0.82585,0.86728,0.67607,0.83659,0.8141,0.84681,0.55737,0.60888,0.85512,0.56343,0.91302,0,6.60569e-05,6.60569e-05,6.60569e-05
95,1499.15,0.63067,0.94095,0.67862,0.94704,0,0.86502,0.82918,0.8666,0.67515,0.85098,0.82608,0.86054,0.55049,0.60654,0.85575,0.56494,0.91173,0,5.78102e-05,5.78102e-05,5.78102e-05
96,1510.96,0.61768,0.93779,0.66491,0.95328,0,0.86111,0.83552,0.86871,0.67434,0.8267,0.82822,0.84707,0.55732,0.60942,0.85744,0.56396,0.91216,0,4.95635e-05,4.95635e-05,4.95635e-05
97,1522.7,0.6257,0.92996,0.6736,0.95246,0,0.89819,0.83154,0.87228,0.67513,0.86403,0.814,0.86021,0.56613,0.61381,0.85376,0.55554,0.91364,0,4.13168e-05,4.13168e-05,4.13168e-05
98,1534.3,0.62835,0.99082,0.67314,0.96494,0,0.89401,0.83006,0.87252,0.67779,0.85783,0.815,0.86004,0.56531,0.61497,0.85121,0.55553,0.91312,0,3.30701e-05,3.30701e-05,3.30701e-05
99,1545.51,0.61877,0.99769,0.66086,0.95306,0,0.8871,0.82374,0.87427,0.68112,0.83191,0.81608,0.85633,0.56374,0.61429,0.84629,0.55229,0.91131,0,2.48234e-05,2.48234e-05,2.48234e-05
100,1557.09,0.63221,0.99218,0.67886,0.97596,0,0.86729,0.82204,0.87219,0.68093,0.80731,0.83145,0.8482,0.55844,0.61316,0.84868,0.55106,0.9104,0,1.65767e-05,1.65767e-05,1.65767e-05
