epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,810.502,0.65507,0.5649,0.85521,0.91473,0.83247,0.87981,0.69283,0.67991,0.45965,0.82382,0.0001288,0.0001288,0.0001288
90,818.424,0.67771,0.57657,0.85779,0.91009,0.83767,0.88101,0.69432,0.65728,0.45773,0.82004,0.0001189,0.0001189,0.0001189
91,828.682,0.66407,0.57349,0.8639,0.91135,0.83739,0.88193,0.69511,0.6518,0.45219,0.82152,0.000109,0.000109,0.000109
92,835.93,0.66901,0.57149,0.86212,0.90192,0.8458,0.88141,0.68829,0.67484,0.46022,0.82599,9.91e-05,9.91e-05,9.91e-05
93,843,0.64271,0.56072,0.84785,0.91099,0.81906,0.87669,0.69764,0.64526,0.45908,0.82011,8.92e-05,8.92e-05,8.92e-05
94,850.48,0.6556,0.5657,0.84945,0.90514,0.81886,0.87908,0.6993,0.64591,0.46134,0.81995,7.93e-05,7.93e-05,7.93e-05
95,856.964,0.65939,0.58086,0.85863,0.90427,0.82932,0.88098,0.69563,0.65599,0.45974,0.8217,6.94e-05,6.94e-05,6.94e-05
96,864.723,0.64366,0.55998,0.85618,0.91909,0.81322,0.8812,0.6883,0.66307,0.45516,0.82396,5.95e-05,5.95e-05,5.95e-05
97,871.362,0.62721,0.55211,0.84725,0.92748,0.82082,0.8809,0.69682,0.64899,0.45458,0.81996,4.96e-05,4.96e-05,4.96e-05
98,878.557,0.62382,0.55399,0.85525,0.92227,0.82431,0.88195,0.69511,0.64728,0.45491,0.81858,3.97e-05,3.97e-05,3.97e-05
99,885.378,0.62621,0.54999,0.84957,0.89738,0.84498,0.88239,0.6969,0.64684,0.45184,0.81824,2.98e-05,2.98e-05,2.98e-05
100,893.57,0.64107,0.56238,0.84371,0.90251,0.84877,0.88224,0.69647,0.64781,0.45357,0.81827,1.99e-05,1.99e-05,1.99e-05
